sku,name,brand,category,base_price,coverage_m2,desc
BM-001,Semen Portland Composite PCC 40kg,Tiga Roda,building material,27130.22,1.0,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 40kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
BM-002,MU-201 Perekat Bata Ringan 5kg,Semen Gresik,building material,123257.21,0.25,"Semen instan Mortar Utama tipe MU-201 untuk perekat bata ringan yang tipis, kuat, dan hemat bahan."
BM-003,MU-202 Acian Plesteran 40kg,Dynamix,building material,57165.33,2.0,"Semen instan Mortar Utama tipe MU-202 untuk pekerjaan acian pada dinding plesteran, menghasilkan permukaan halus siap cat."
BM-004,MU-203 Perekat Keramik 50kg,MU-Mortar Utama,building material,29451.65,0.5,Semen instan Mortar Utama tipe MU-203 untuk pemasangan keramik dinding dan lantai agar anti-kopong dan tahan lama.
BM-005,SikaGrout 204 Semen Grouting 40kg,Sika,building material,260097.31,0.25,"Semen instan SikaGrout tipe 204 untuk pengisi celah beton, pilar, dan grouting struktur berkekuatan tinggi."
BM-006,Sika Top 205 Waterproofing 25kg,Lemkra,building material,111436.26,4.0,"Bahan pelapis kedap air 2 komponen Sika Top 205 untuk dak beton, kamar mandi, bak air, dan area basah lainnya."
BM-007,Lemkra FK 206 Perekat Granit 40kg,AM,building material,121913.7,4.0,Perekat keramik dan granit instan Lemkra tipe FK 206 berkekuatan rekat tinggi untuk pemasangan di area kering maupun basah.
BM-008,AM 207 Pengisi Nat Keramik 5kg,Drymix,building material,407573.77,0.25,"Pengisi nat keramik premium AM 207 yang tahan air, anti-jamur, warna tidak mudah pudar, cocok untuk interior dan eksterior."
BM-009,Drymix Plester 208 Instan 40kg,Semen Padang,building material,353597.61,1.0,Semen instan Drymix untuk pekerjaan plesteran dinding bata merah atau bata ringan dengan hasil presisi dan minimal retak rambut.
BM-010,Semen Portland Composite PCC 50kg,Tiga Roda,building material,90407.56,1.0,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 50kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
BM-011,MU-210 Perekat Bata Ringan 40kg,Semen Gresik,building material,59981.73,0.25,"Semen instan Mortar Utama tipe MU-210 untuk perekat bata ringan yang tipis, kuat, dan hemat bahan."
BM-012,MU-211 Acian Plesteran 5kg,Dynamix,building material,426034.77,4.0,"Semen instan Mortar Utama tipe MU-211 untuk pekerjaan acian pada dinding plesteran, menghasilkan permukaan halus siap cat."
BM-013,MU-212 Perekat Keramik 40kg,MU-Mortar Utama,building material,406457.21,2.0,Semen instan Mortar Utama tipe MU-212 untuk pemasangan keramik dinding dan lantai agar anti-kopong dan tahan lama.
BM-014,SikaGrout 213 Semen Grouting 5kg,Sika,building material,75540.69,2.0,"Semen instan SikaGrout tipe 213 untuk pengisi celah beton, pilar, dan grouting struktur berkekuatan tinggi."
BM-015,Sika Top 214 Waterproofing 40kg,Lemkra,building material,282739.71,4.0,"Bahan pelapis kedap air 2 komponen Sika Top 214 untuk dak beton, kamar mandi, bak air, dan area basah lainnya."
BM-016,Lemkra FK 215 Perekat Granit 50kg,AM,building material,295015.79,0.25,Perekat keramik dan granit instan Lemkra tipe FK 215 berkekuatan rekat tinggi untuk pemasangan di area kering maupun basah.
BM-017,AM 216 Pengisi Nat Keramik 40kg,Drymix,building material,335712.71,1.0,"Pengisi nat keramik premium AM 216 yang tahan air, anti-jamur, warna tidak mudah pudar, cocok untuk interior dan eksterior."
BM-018,Drymix Plester 217 Instan 5kg,Semen Padang,building material,429829.09,0.25,Semen instan Drymix untuk pekerjaan plesteran dinding bata merah atau bata ringan dengan hasil presisi dan minimal retak rambut.
